question_id,pipeline,expected_kind,question,answerable,expected_pages,first_relevant_rank,recall_at_1,recall_at_3,recall_at_5,answer,insufficient_evidence,normalized_answer_match,citation_integrity_valid,citation_page_correct,precise_provenance_available,cited_pages,retrieval_duration_ms,generation_duration_ms,total_duration_ms,evidence_token_count,result_status,result_note
Q01,baseline,table,What verification method is specified for REQ-204?,True,[4],1,True,True,True,"REQ-204 is verified by a Test method, specifically an end-to-end telemetry test for the communications subsystem.",False,True,True,True,False,"[1,2,3,4,5,6,7,8,9,10]",2219,4259,6508,1913,pass,
Q01,docling_standard,table,What verification method is specified for REQ-204?,True,[4],2,False,True,True,The specified verification method for REQ-204 is **Test**.,False,True,True,True,True,[4],659,2127,2819,927,pass,
Q02,baseline,table,Which subsystem owns REQ-205 and how is it verified?,True,[4],1,True,True,True,"REQ-205 is owned by the Guidance group and is verified by Analysis, specifically by acceptance of the covariance analysis.",False,False,True,True,False,"[1,2,3,4,5,6,7,8,9,10]",249,4593,4866,1913,fail,answer mismatch
Q02,docling_standard,table,Which subsystem owns REQ-205 and how is it verified?,True,[4],1,True,True,True,"REQ-205 belongs to the Navigation subsystem and is verified by Analysis, with Guidance as the verification owner.",False,True,True,True,True,[4],242,3918,4198,850,pass,
Q03,baseline,table,What thermal margin threshold is required by REQ-207?,True,[5],2,False,True,True,REQ-207 requires a thermal margin threshold of 18 percent.,False,True,True,True,False,"[4,5,6,7,8,9,10]",231,5141,5397,1913,pass,
Q03,docling_standard,table,What thermal margin threshold is required by REQ-207?,True,[5],3,False,True,True,REQ-207 requires a minimum thermal margin threshold of 18 percent.,False,True,True,False,True,"[5,9]",948,3174,4150,988,fail,strict citation-page mismatch
Q04,baseline,table,What is the readiness status of REQ-209?,True,[5],2,False,True,True,REQ-209 has a readiness status of **Conditional**. [E2],False,True,True,True,False,"[4,5,6,7,8,9,10]",283,2660,2967,1913,pass,
Q04,docling_standard,table,What is the readiness status of REQ-209?,True,[5],5,False,False,True,"REQ-209 has a readiness status of **Conditional**.

This is shown in the verification matrix, where REQ-209 (Navigation, Verification Method = Demonstration, Owner = Guidance) is listed with `Readiness.Status = Conditional` and a readiness criterion of `Recovery retest pending`.",False,True,True,True,True,"[5,6]",238,3778,4046,601,pass,
Q05,baseline,list,How much scheduled maintenance is permitted each quarter?,True,[3],2,False,True,True,Scheduled maintenance is limited to a maximum of four hours per quarter.,False,True,True,True,False,"[1,2,3,4]",341,2077,2439,1913,pass,
Q05,docling_standard,list,How much scheduled maintenance is permitted each quarter?,True,[3],1,True,True,True,Scheduled maintenance is limited to four hours per quarter.,False,True,True,True,True,[3],377,1792,2196,330,pass,
